,0,1
559,priča,85
560,REM,85
561,značiti,84
562,mera,84
563,ambasador,84
564,portal,84
565,zločin,84
566,konkurs,83
567,ustav,83
568,komora,83
569,narodni,83
570,napraviti,83
571,privođenje,83
572,spomenik,82
573,kućni,82
574,izazvati,82
575,- a,82
576,organizovati,82
577,ulazak,82
578,raskrsnica,82
579,pratiti,81
580,ubiti,81
581,Vlada Srbija,81
582,NIS -,81
583,predmet,81
584,dolaziti,81
585,ekološki,81
586,saslušan,81
587,Novi,81
588,Zemun,81
589,transparent,81
590,nezavisan,81
591,ispit,81
592,htjeti,81
593,ukidanje,80
594,održan,80
595,voziti,80
596,školski,80
597,onlajn,80
598,obustaviti,80
599,kolona,80
600,istorija,80
601,stajati,79
602,stručnjak,79
603,devojka,79
604,govor,79
605,dozvoliti,79
606,prijaviti,79
607,Milivojević,79
608,izaći,79
609,republika,79
610,litijum,79
611,privatan,79
612,kragujevački,79
613,gradilište,79
614,demokratija,79
615,novembar,79
616,smrt,78
617,televizija,78
618,društven,78
619,počinjati,78
620,zabrana,78
621,predati,78
622,lokacija,78
623,napati,78
624,optužba,77
625,projekat,77
626,deponija,77
627,parada,77
628,utvrditi,76
629,krv,76
630,funkcija,76
631,opasan,76
632,zatvoriti,76
633,izgradnja,76
634,zapadni,76
635,stari,76
636,zaht,76
637,tužilac,75
638,stran,75
639,verovati,75
640,potpisati,75
641,upozoravati,75
642,servis,75
643,pacijent,75
644,trenutak,75
645,uhapšeni,75
646,posledica,75
647,stradati,75
648,doneti,75
649,uhapšeno,75
650,bomba,75
651,maj,75
652,potvrditi,75
653,užica,74
654,vanredni,74
655,svetski,74
656,postaviti,74
657,meta,74
658,pronaći,74
659,najava,74
660,planirati,74
661,Srbin,74
662,boriti,74
663,prekinuti,74
664,nadati,73
665,čuvati,73
666,srednji,73
667,držati,73
668,odustati,73
669,kanal,73
670,godišnjica,72
671,Leskovac,72
672,promeniti,72
673,urednik,72
674,spremati,72
675,droga,72
676,Generalštab,72
677,slika,72
678,zavod,71
679,navoditi,71
680,Vojvodina,71
681,saradnja,71
682,pristalica,71
683,priveden,71
684,sudski,71
685,miting,71
686,ljudski,70
687,zatražiti,70
688,Balkan,70
689,podatak,70
690,partija,70
691,nožem,70
692,najavljivati,70
693,vrtić,69
694,telefon,69
695,lekar,69
696,ozbiljan,69
697,načelnik,69
698,fotografija,69
699,struka,68
700,preti,68
701,telo,68
702,reč,68
703,vojska,68
704,Stefanović,68
705,februar,68
706,uhapsiti,68
707,pritisc,68
708,MUP -,68
709,v.d,68
710,štrajak,68
711,informer,67
712,intervencija,67
713,stav,67
714,agencija,67
715,ključan,67
716,snimka,67
717,pozorište,67
718,primiti,66
719,srce,66
720,koncert,66
721,vrata,66
722,sumnjati,66
723,ispunjenje,66
724,pionirskom,66
725,patrijarh,66
726,univerziteta,66
727,prestati,66
728,pojačan,65
729,šator,65
730,Vesić,65
731,građevinski,65
732,cel,65
733,poslati,65
734,udes,64
735,otac,64
736,istraživanje,64
737,2025,64
738,kolegijum,64
739,hiljad,64
740,promeni,64
741,raspisati,64
742,nositi,64
743,zastava,64
744,revolucija,64
745,zabrinut,63
746,predstavljati,63
747,2026,63
748,predložiti,63
749,pešak,63
750,izabrati,63
751,ustanak,63
752,kretati,63
753,jak,63
754,Aleksić,63
755,EXPO,63
756,čuti,63
757,otvaranje,62
758,zahtevati,62
759,oštetiti,62
760,maturant,62
761,kriminalac,62
762,utorak,62
763,okupljen,62
764,prosvetni,62
765,napadnut,62
766,rtv,62
767,naredan,61
768,deti,61
769,glasanje,61
770,fondacija,61
771,ustanova,61
772,nalog,61
773,dolazak,61
774,besplatan,61
775,ministarka,61
776,kriminalan,61
777,olenik,61
778,Rusija,61
779,tema,61
780,dokument,61
781,septembar,61
782,poverenje,61
783,oš,61
784,odati,60
785,zabraniti,60
786,demantovati,60
787,prostor,60
788,zaposliti,60
789,rešiti,60
790,američki,60
791,dešavati,60
792,informisanje,60
793,decembar,60
794,plašiti,60
795,Zrenjanin,60
796,zborovi,60
797,gledati,60
798,naselje,59
799,crven,59
800,organ,59
801,gađati,59
802,devojčica,59
803,emisija,59
804,padati,59
805,nezakonit,59
806,akademija,59
807,sever,59
808,šef,59
809,priznati,59
810,staviti,59
811,završen,59
812,traktor,59
813,donositi,58
814,Selaković,58
815,predsednica,58
816,lečenje,58
817,inspektor,58
818,pešačiti,58
819,RHMZ,58
820,nestati,58
821,sremski,58
822,vrednost,58
823,uhapšene,58
824,dogovor,58
825,zajednički,57
826,novog,57
827,mržnja,57
828,uraditi,57
829,račun,57
830,vikend,57
831,loš,57
832,pobediti,57
833,marihuana,57
834,Advokat,57
835,srednjoškolac,57
836,list,57
837,PSG,57
838,saradnik,57
839,5,57
840,potez,56
841,EP,56
842,povređiti,56
843,Đurić,56
844,hotel,56
845,ostaviti,56
846,lažan,56
847,Informer,56
848,dnevni,56
849,poručovati,56
850,marš,56
851,mandat,56
852,pravan,56
853,vetar,56
854,negirati,56
855,EK,56
856,izdati,56
857,prosvetan,56
858,naći,56
859,vodovod,56
860,služiti,55
861,magla,55
862,Priština,55
863,sporazum,55
864,faza,55
865,ratni,55
866,Nova.rs,55
867,vrh,55
868,priznanje,55
869,zid,55
870,povući,55
871,obeležiti,55
872,graničan,55
873,zapleniti,55
874,apelovati,55
875,vršiti,55
876,jasan,55
877,kriv,55
878,Slavija,55
879,Vidovdan,55
880,ideja,54
881,poledica,54
882,NVO,54
883,socijalan,54
884,reagivati,54
885,bezbedan,54
886,kompanija,54
887,pojedini,54
888,formirati,54
889,otkazati,54
890,gašenje,54
891,novogodišnji,54
892,parlamentaran,54
893,sledeći,54
894,DUNP,54
895,um,54
896,postupanje,54
897,zvati,54
898,sajam,54
899,FPN,53
900,uticaj,53
901,ličan,53
902,ponoš,53
903,pucnjava,53
904,dovesti,53
905,pretući,53
906,ćuti,53
907,težak,53
908,targetiranje,53
909,produžiti,53
910,beba,53
911,Đokić,53
912,- promeni,53
913,upis,53
914,fizički,53
915,graditi,53
916,svedok,53
917,biciklist,53
918,avgust,53
919,pažnja,52
920,umetnost,52
921,preuzeti,52
922,preduzeće,52
923,ponašanje,52
924,brutalnost,52
925,šteta,52
926,voz,52
927,čelo,52
928,hrvatski,52
929,prodaja,52
930,štititi,52
931,naložiti,52
932,mir,52
933,nijedan,52
934,eksplozija,52
935,vranje,52
936,investitor,52
937,potpun,52
938,trojica,52
939,disciplinski,52
940,upozoriti,51
941,pomilovanje,51
942,otkriti,51
943,sprovoditi,51
944,prethodan,51
945,koalicija,51
946,maloletnik,51
947,tužioc,51
948,osećati,51
949,koštati,51
950,kulturan,51
951,okupiti,51
952,obezbediti,51
953,spisk,51
954,Marija Vasić,51
955,region,51
956,otići,51
957,poručivati,51
958,nepoznat,50
959,snega,50
960,proglasiti,50
961,2024,50
962,dobijati,50
963,četvrtak,50
964,pucati,50
965,Popović,50
966,tehnički,50
967,kancelarija,50
968,izveštavanje,50
969,prozor,50
970,spisak,50
971,krivica,50
972,pružiti,50
973,vazduh,50
974,Jadar,50
975,vraćati,50
