headline,url,datePublished
Скупштина усвојила закључке поводом извештаја ЕК о Србији и више одлука,https://www.rts.rs/vesti/politika/5853515/skupstina-srbije-sednica-izvestaj-ek.html,"уторак, 23. дец 2025, 06:57 -> 18:31"
Видосаву Митровићу из Лешка одређен једномесечни притвор,https://www.rts.rs/vesti/politika/5853441/srbin-kosovo-lesak-pritvor.html,"понедељак, 22. дец 2025, 20:48 -> 21:00"
Око: Америчка коњица у Хагу – спасавање Хашима Тачија,https://www.rts.rs/vesti/politika/5853379/sudjenje-hasimu-taciju-svedocenje-veslija-klarka.html,"понедељак, 22. дец 2025, 20:00 -> 21:05"
Вучић: Надам се да ћемо у наредним недељама решити ситуацију са НИС-ом,https://www.rts.rs/vesti/politika/5853389/aleksandar-vucic-penzije.html,"понедељак, 22. дец 2025, 18:33 -> 21:36"
"Београдски одборници усвојили буџет за 2026. годину, испред градске скупштине протест радника ",https://www.rts.rs/vesti/politika/5853373/beogradski-odbornici-usvojili-budzet-za-2026-godinu-ispred-gradske-skupstine-protest-radnika-apoteka-beograd.html,"понедељак, 22. дец 2025, 18:30 -> 01:51"
Вучић на отварању спортске хале у Путинцима: Испунили смо обећање,https://www.rts.rs/vesti/politika/5853382/sportska-hala-putinci-vucic-otvaranje.html,"понедељак, 22. дец 2025, 18:15 -> 19:55"
Власти у Приштини купују немачки противтенковски систем,https://www.rts.rs/vesti/politika/5853305/pristina-oruzje-bezbednosne-snage.html,"понедељак, 22. дец 2025, 15:18 -> 15:47"
Првостепена пресуда Слађану Трајковићу биће изречена 26. децембра,https://www.rts.rs/vesti/politika/5853115/sladjan-trajkovic-sudjenje-kosovo-metohija-pristina.html,"понедељак, 22. дец 2025, 13:34 -> 15:22"
Калас: Србија се делимично усагласила са рестриктивним мерама Савета ЕУ,https://www.rts.rs/vesti/politika/5853047/kalas-srbija-se-delimicno-usaglasila-sa-restriktivnim-merama-saveta-eu.html,"понедељак, 22. дец 2025, 12:10 -> 16:51"
Скупштина града Београда о буџету на наредну годину,https://www.rts.rs/vesti/politika/5853036/skupstina-grada-beograda-o-budzetu-na-narednu-godinu.html,"понедељак, 22. дец 2025, 11:58 -> 17:56"
Мрдић предао у скупштинску процедуру предлоге пет правосудних закона,https://www.rts.rs/vesti/politika/5853034/mrdic-ugljesa-narodna-skupstina-tuzilastvo-zakoni-predlog.html,"понедељак, 22. дец 2025, 11:49 -> 12:04"
Вучић са Пелегринијем: Србија ће финансирати изградњу Словачке куће у Новом Саду,https://www.rts.rs/vesti/politika/5853020/pelegrini-vucic-backi-petrovac.html,"понедељак, 22. дец 2025, 11:26 -> 19:46"
"Гогић за РТС: Курти рачуна на дијаспору, без српских представника нема ни владе ни председника",https://www.rts.rs/vesti/politika/5852810/kosovo-metohija-izbori-pristina-ognjen-gogic.html,"понедељак, 22. дец 2025, 10:09 -> 14:11"
Колико кошта проширење ЕУ на Западни Балкан – бројеви демантују страхове,https://www.rts.rs/vesti/politika/5852811/koliko-kosta-prosirenje-eu-na-zapadni-balkan--brojevi-demantuju-strahove.html,"понедељак, 22. дец 2025, 08:02 -> 11:17"
Премијер Мацут са Пелегринијем о унапређењу сарадње,https://www.rts.rs/vesti/politika/5852658/macut-pelegrini-srbija-slovacka.html,"недеља, 21. дец 2025, 19:40 -> 19:49"
Гашић са министром одбране Словачке Калинаком,https://www.rts.rs/vesti/politika/5852652/gasic-slovacki-ministar-odbrane-kalinak.html,"недеља, 21. дец 2025, 19:11 -> 19:20"
